source,target,weight
7,2,3
11,2,3
13,2,3
24,2,3
27,2,3
39,2,3
2,4,3
17,4,3
23,4,3
24,4,3
26,4,3
36,4,3
2,5,3
10,5,3
11,5,3
17,5,3
24,5,3
31,5,3
2,6,3
4,6,3
5,6,3
39,6,3
2,7,3
10,7,3
11,7,3
13,7,3
15,7,3
2,8,3
10,8,3
14,8,3
15,8,3
31,8,3
2,9,3
8,9,3
10,9,3
13,9,3
26,9,3
2,10,3
5,10,3
14,10,3
36,10,3
2,11,6
5,11,3
13,11,3
15,11,3
21,11,3
24,11,3
25,11,3
2,13,3
7,13,3
10,13,3
11,13,3
19,13,3
24,13,3
27,13,3
29,13,3
37,13,3
2,14,3
9,14,3
10,14,3
11,14,3
13,14,3
19,14,3
24,14,3
29,14,3
2,15,3
5,15,3
11,15,3
13,15,3
28,15,3
2,16,3
9,16,3
13,16,3
24,16,3
2,17,3
5,17,3
11,17,3
14,17,3
23,17,3
24,17,3
39,17,3
2,19,3
13,19,3
21,19,3
24,19,3
25,19,3
2,21,3
5,21,3
15,21,3
24,21,3
25,21,3
33,21,3
2,22,3
11,22,3
13,22,3
21,22,3
2,23,3
4,23,3
5,23,3
10,23,3
2,24,3
7,24,3
10,24,3
11,24,3
13,24,3
16,24,3
19,24,3
29,24,3
2,25,3
5,25,3
10,25,3
11,25,3
23,25,3
24,25,3
31,25,3
2,26,3
4,26,3
5,26,3
11,26,3
15,26,3
25,26,3
39,26,3
2,27,3
9,27,3
10,27,3
11,27,3
26,27,3
2,28,3
8,28,3
10,28,3
13,28,3
27,28,3
2,29,3
5,29,3
10,29,3
11,29,3
13,29,3
15,29,3
24,29,3
27,29,3
2,31,3
11,31,3
13,31,3
17,31,3
24,31,3
26,31,3
2,33,3
5,33,3
6,33,3
9,33,3
2,36,3
5,36,3
24,36,3
27,36,3
28,36,3
33,36,3
2,37,3
8,37,3
10,37,3
13,37,3
16,37,3
2,39,3
4,39,3
5,39,3
9,39,3
42,39,3
2,42,3
4,42,3
5,42,3
10,42,3
11,42,3
16,42,3
36,42,3
