source,target,weight
5,2,3
7,2,3
10,2,3
11,2,6
14,2,3
16,2,3
17,2,3
24,2,3
26,2,3
27,2,3
39,2,3
2,4,3
6,4,3
13,4,3
36,4,3
42,4,3
2,5,3
6,5,3
7,5,3
8,5,3
10,5,3
11,5,3
26,5,3
2,6,3
10,6,3
11,6,3
31,6,3
33,6,3
2,7,6
6,7,6
10,7,3
11,7,3
14,7,3
24,7,3
31,7,3
39,7,3
2,8,3
10,8,3
15,8,3
21,8,3
42,8,3
2,9,3
10,9,3
11,9,3
13,9,3
19,9,3
24,9,3
25,9,3
29,9,3
37,9,3
2,10,6
5,10,3
6,10,6
11,10,3
14,10,3
24,10,3
33,10,3
36,10,3
2,11,3
6,11,3
13,11,3
2,13,3
9,13,3
10,13,3
11,13,3
16,13,3
19,13,3
24,13,3
28,13,3
29,13,3
37,13,3
2,14,3
10,14,3
11,14,3
22,14,3
33,14,3
39,14,3
2,15,3
6,15,3
10,15,3
13,15,3
24,15,3
2,16,3
4,16,3
7,16,3
10,16,3
11,16,3
19,16,3
24,16,3
29,16,3
36,16,3
37,16,3
2,17,3
9,17,3
11,17,3
13,17,3
24,17,3
28,17,3
29,17,3
33,17,3
37,17,3
2,19,3
5,19,3
6,19,3
8,19,3
10,19,3
11,19,3
15,19,3
28,19,3
29,19,3
2,21,3
4,21,3
6,21,3
10,21,3
42,21,3
2,22,3
6,22,3
10,22,3
11,22,3
13,22,3
39,22,3
2,23,3
5,23,3
6,23,3
10,23,3
11,23,3
13,23,3
16,23,3
22,23,3
2,24,6
4,24,3
10,24,3
11,24,3
13,24,3
21,24,3
25,24,3
27,24,3
28,24,3
29,24,3
36,24,3
37,24,3
2,25,3
10,25,3
11,25,3
19,25,3
22,25,3
24,25,3
29,25,3
36,25,3
37,25,3
42,25,3
2,26,3
10,26,3
16,26,3
24,26,3
42,26,3
2,27,3
6,27,3
9,27,3
10,27,3
11,27,3
13,27,3
19,27,3
24,27,3
25,27,3
26,27,3
29,27,3
2,28,3
13,28,3
39,28,3
2,29,3
6,29,3
11,29,3
15,29,3
23,29,3
24,29,3
2,31,3
6,31,3
11,31,3
13,31,3
2,33,3
6,33,3
11,33,3
14,33,3
39,33,3
2,36,3
8,36,3
10,36,3
14,36,3
26,36,3
2,37,3
10,37,3
11,37,3
13,37,3
17,37,3
19,37,3
24,37,3
29,37,3
2,39,3
4,39,3
6,39,3
10,39,3
11,39,3
26,39,3
28,39,3
29,39,3
31,39,3
42,39,3
2,42,3
6,42,3
10,42,3
21,42,3
24,42,3
