source,target,weight
10,2,3
11,2,3
17,2,3
27,2,3
33,2,3
2,4,3
6,4,3
13,4,3
39,4,3
2,5,3
10,5,3
11,5,3
19,5,3
26,5,3
2,6,3
10,6,3
14,6,3
31,6,3
42,6,3
2,7,3
5,7,3
10,7,3
26,7,3
2,8,3
5,8,3
7,8,3
13,8,3
2,9,3
7,9,3
10,9,3
11,9,3
24,9,3
26,9,3
33,9,3
24,10,3
26,10,3
29,10,3
36,10,3
8,11,3
13,11,3
17,11,3
27,11,3
10,13,3
21,13,3
24,13,3
25,13,3
31,13,3
6,14,3
10,14,3
19,14,3
26,14,3
39,14,3
6,15,3
2,16,3
13,16,3
17,16,3
26,16,3
6,17,3
7,17,3
8,17,3
11,17,3
27,17,3
2,19,3
5,19,3
6,19,3
11,19,3
13,19,3
2,21,3
13,21,3
19,21,3
24,21,3
25,21,3
2,22,3
6,22,3
8,22,3
10,22,3
11,22,3
5,23,3
10,23,3
11,23,3
14,23,3
25,23,3
2,24,3
10,24,3
13,24,3
23,24,3
36,24,3
5,25,3
6,25,3
10,25,3
13,25,3
31,25,3
5,26,3
6,26,3
10,26,3
39,26,3
42,26,3
2,27,3
5,27,3
11,27,3
26,27,3
28,27,3
13,28,3
14,28,3
21,28,3
5,29,3
10,29,3
31,29,3
42,29,3
5,31,3
6,31,3
11,31,3
39,31,3
42,31,3
5,33,3
21,33,3
31,33,3
2,36,3
5,36,3
6,36,3
10,36,3
11,36,3
26,36,3
10,37,3
11,37,3
2,39,3
6,39,3
10,39,3
14,39,3
26,39,3
6,42,3
11,42,9
13,42,3
14,42,3
