source,target,weight
23,3,3
25,3,3
27,3,3
32,3,3
35,3,3
14,5,3
22,5,3
23,5,3
25,5,3
3,6,3
22,6,3
25,6,3
37,6,3
41,6,3
17,7,3
23,7,3
25,7,3
32,7,3
7,9,3
11,9,3
25,9,3
32,9,3
7,10,3
11,10,3
22,10,3
25,10,3
32,10,3
45,10,3
25,11,3
29,11,3
35,11,3
42,11,3
22,14,3
25,14,3
27,14,3
35,14,3
17,16,3
23,16,3
25,16,3
37,16,3
47,16,3
25,17,3
27,17,3
32,17,3
35,17,3
9,22,3
25,22,3
32,22,3
45,22,3
22,23,3
25,23,6
32,23,6
35,23,3
6,25,3
11,25,3
22,25,3
37,25,3
39,25,3
3,27,3
6,27,3
25,27,3
35,27,3
41,27,3
25,29,3
32,29,3
39,29,3
25,31,3
27,31,3
32,31,3
37,31,3
25,35,3
27,35,3
32,35,3
48,35,3
3,37,3
6,37,3
10,37,3
25,37,3
25,39,3
29,39,3
32,39,3
35,39,3
10,41,3
22,41,3
25,41,3
35,41,3
7,42,3
17,42,3
22,42,3
25,42,3
32,42,3
9,44,3
14,44,3
25,44,3
47,44,3
11,45,3
23,45,3
25,45,3
35,45,3
48,45,3
9,47,3
14,47,3
25,47,3
27,47,3
25,48,3
29,48,3
32,48,3
35,48,3
39,48,3
