source,target,weight
14,3,3
16,3,3
25,3,3
32,3,3
35,3,3
44,3,3
11,5,3
14,5,3
22,5,3
25,5,3
41,5,3
48,5,3
10,6,3
14,6,3
22,6,3
25,6,3
35,6,3
37,6,3
48,6,3
14,7,3
22,7,3
25,7,3
35,7,3
41,7,3
14,9,3
25,9,3
32,9,3
39,9,3
5,10,3
14,10,3
22,10,3
25,10,3
37,10,3
9,11,3
14,11,3
25,11,3
32,11,3
35,11,3
11,14,3
22,14,3
25,14,3
35,14,3
37,14,3
48,14,3
14,16,3
17,16,3
25,16,3
29,16,3
14,17,3
22,17,3
25,17,3
27,17,3
14,22,3
16,22,3
25,22,3
29,22,3
25,23,3
32,23,3
39,23,3
14,25,3
22,25,3
27,25,3
31,25,3
41,25,3
5,27,3
11,27,3
14,27,3
25,27,3
31,27,3
37,27,3
14,29,3
25,29,3
32,29,3
44,29,3
6,31,3
14,31,3
22,31,3
25,31,3
41,31,3
10,32,3
25,32,3
35,32,3
42,32,3
45,32,3
48,32,3
3,35,3
14,35,3
25,35,3
29,35,3
39,35,3
42,35,3
5,37,3
11,37,3
14,37,3
22,37,3
25,37,3
9,39,3
14,39,3
22,39,3
25,39,3
14,41,3
25,41,3
27,41,3
39,41,3
45,41,3
47,41,3
9,42,3
16,42,3
17,42,3
25,42,3
35,42,3
47,42,3
14,44,3
17,44,3
25,44,3
27,44,3
32,44,3
45,44,3
6,45,3
14,45,3
25,45,3
27,45,3
31,45,3
32,45,3
35,45,3
14,47,3
25,47,3
27,47,3
31,47,3
32,47,3
35,47,3
3,48,3
14,48,3
25,48,3
32,48,3
35,48,3
39,48,3
