source,target,weight
37,10,3
10,17,3
25,31,3
37,7,4
19,4,3
18,4,3
7,25,3
27,17,3
25,1,3
37,33,3
13,30,3
37,35,3
28,35,3
7,19,3
25,15,3
7,28,3
31,35,3
27,28,3
28,31,3
18,35,3
2,32,3
2,17,3
7,35,3
18,25,3
4,15,3
30,11,3
4,26,3
4,32,3
31,11,3
18,26,3
33,18,3
19,33,3
7,2,3
7,15,3
31,18,3
4,37,3
7,37,3
8,6,3
6,4,3
7,1,3
31,4,3
19,17,3
7,18,3
37,25,3
7,31,3
25,37,3
10,25,3
15,28,3
31,27,3
37,15,4
7,17,3
18,11,4
31,33,3
32,13,3
8,19,3
31,13,3
27,37,3
7,11,3
37,2,3
17,15,3
37,31,3
2,19,3
25,4,3
27,25,3
17,33,3
33,6,3
31,28,3
18,2,5
7,27,3
27,19,3
11,33,3
27,4,3
18,28,3
4,2,3
28,7,3
33,1,3
30,6,3
31,7,3
37,11,4
2,27,3
7,13,3
1,18,3
7,30,3
26,10,3
17,26,3
32,30,3
2,4,3
8,4,3
35,1,3
15,31,3
31,26,3
25,27,3
35,30,3
37,27,3
2,26,3
7,4,3
8,1,3
15,26,3
7,10,3
31,25,3
35,17,3
6,37,3
13,11,3
17,19,3
7,32,3
11,37,3
27,13,3
8,30,3
4,25,3
33,10,3
27,35,3
6,19,3
37,4,3
37,6,3
7,26,3
35,31,3
27,18,3
27,7,3
10,2,3
