source,target,weight
25,31,3
18,4,5
27,17,3
27,2,3
26,6,3
27,28,3
4,19,3
26,32,3
35,28,3
28,35,3
10,18,3
11,27,3
1,28,3
25,15,3
7,28,3
31,35,3
2,27,3
18,35,4
19,13,3
17,13,3
26,18,3
2,28,3
18,25,3
4,26,3
28,15,3
31,2,3
4,32,3
2,18,3
32,19,3
1,15,3
28,1,3
4,31,3
7,2,3
27,33,4
7,15,3
31,18,3
4,37,3
11,31,3
25,19,3
18,26,3
31,11,3
10,4,3
15,25,3
31,4,3
13,6,3
37,25,3
11,26,3
7,31,3
27,31,3
17,27,3
15,28,3
18,11,4
15,7,3
27,26,3
32,13,3
19,37,3
33,10,3
31,13,3
30,31,3
19,11,3
25,4,3
7,33,3
27,25,3
33,17,3
28,2,3
33,11,3
27,32,3
19,6,3
18,2,3
7,27,3
6,33,3
27,19,3
18,28,4
26,2,3
11,7,4
31,7,3
10,35,3
6,31,3
26,31,3
13,33,3
35,1,3
31,26,3
25,27,3
32,37,3
30,37,3
11,1,3
2,35,3
31,25,3
6,37,3
17,19,3
2,10,3
30,10,3
4,25,3
8,17,3
25,28,3
31,28,3
37,4,3
7,26,3
37,17,3
27,18,3
37,6,3
2,15,4
31,33,3
26,4,3
