source,target,weight
25,19,3
10,17,3
17,7,3
31,19,3
19,4,3
18,4,3
7,25,3
27,17,6
1,6,3
17,25,3
37,33,3
10,8,3
31,8,3
4,19,3
10,7,3
26,32,3
7,6,4
25,31,3
10,18,3
17,2,3
7,19,3
11,27,3
1,28,3
25,15,3
7,28,3
10,35,3
25,10,3
2,6,3
18,35,4
8,2,3
35,10,3
30,8,3
2,32,3
17,8,3
28,32,6
15,1,3
17,18,3
7,35,3
2,28,3
18,25,3
27,10,3
25,6,3
15,33,3
30,11,3
4,26,3
25,33,3
31,2,3
35,26,3
7,8,3
25,1,3
8,35,3
32,19,3
27,37,3
2,1,3
18,26,3
33,18,3
25,11,3
27,11,3
19,33,3
35,4,3
7,2,4
31,1,3
19,18,3
10,30,3
17,6,3
7,15,3
31,18,3
17,11,3
6,32,3
7,37,7
27,15,3
8,6,3
8,25,3
6,4,3
11,4,3
10,4,4
7,1,3
19,17,3
10,19,3
17,1,3
15,10,3
6,30,3
13,6,4
25,2,5
19,2,3
7,18,3
27,31,3
17,27,3
25,4,3
35,13,3
25,37,5
30,2,3
19,27,3
10,25,3
7,4,3
30,17,3
7,17,6
37,28,3
19,1,3
18,11,4
7,31,3
27,25,3
37,25,3
2,8,3
13,37,6
4,27,3
28,8,3
10,15,3
25,32,3
31,13,3
30,31,3
10,26,3
7,11,3
4,33,3
19,11,3
31,17,3
17,15,3
25,26,3
27,1,3
37,31,3
17,28,3
7,33,3
2,30,3
17,33,3
2,13,3
25,28,3
19,32,3
25,35,3
10,31,3
31,37,3
19,6,3
18,2,5
17,10,3
7,27,3
27,19,3
17,31,3
32,17,3
13,28,3
27,4,3
18,28,4
4,2,3
26,2,3
33,1,3
31,10,3
19,31,3
31,7,3
37,11,3
7,13,3
25,13,3
7,30,3
10,33,3
17,26,3
32,30,3
28,25,3
27,32,3
10,11,4
4,18,3
19,26,3
10,6,3
31,26,3
25,27,3
35,30,3
30,37,3
18,8,5
25,8,3
2,26,3
26,15,3
8,1,3
25,18,3
26,1,3
19,25,3
10,27,3
15,26,3
7,10,3
19,10,3
37,30,3
17,19,3
7,32,6
35,32,3
1,13,3
17,32,3
35,1,3
2,10,3
30,10,3
10,1,3
25,30,3
25,7,3
35,27,3
17,4,3
15,17,3
25,17,6
7,26,3
30,35,3
37,17,3
27,18,3
17,30,3
32,18,3
27,7,3
17,35,3
37,32,3
2,15,3
10,2,3
