source,target,weight
5,3,3
21,3,3
22,3,3
33,3,3
34,3,3
10,5,3
14,5,3
16,5,3
22,5,3
34,5,3
36,5,3
45,5,3
5,8,3
21,8,3
22,8,3
24,8,3
34,8,3
39,8,3
42,8,3
5,10,3
18,10,3
21,10,3
22,10,3
28,10,3
34,10,3
39,10,3
5,14,3
18,14,3
22,14,3
34,14,3
36,14,3
45,14,3
46,14,3
5,16,3
14,16,3
18,16,3
21,16,3
29,16,3
34,16,3
36,16,3
5,17,3
14,17,3
22,17,3
26,17,3
28,17,3
29,17,3
34,17,3
5,18,3
21,18,3
22,18,3
33,18,3
34,18,3
46,18,3
47,18,3
5,20,3
21,20,3
22,20,3
34,20,3
39,20,3
5,21,3
14,21,3
17,21,3
22,21,3
28,21,3
34,21,3
41,21,3
5,22,3
8,22,3
17,22,3
21,22,3
24,22,3
34,22,3
3,24,3
5,24,3
22,24,3
34,24,3
36,24,3
39,24,3
5,26,3
14,26,3
21,26,3
22,26,3
28,26,3
34,26,3
47,26,3
3,28,3
5,28,3
22,28,3
26,28,3
34,28,3
47,28,3
5,29,3
17,29,3
18,29,3
21,29,3
22,29,3
34,29,3
36,29,3
5,30,3
8,30,3
17,30,3
22,30,3
28,30,3
34,30,3
5,32,3
21,32,3
22,32,3
34,32,3
36,32,3
3,33,3
5,33,3
17,33,3
22,33,3
32,33,3
34,33,3
42,33,3
5,34,3
10,34,3
18,34,3
26,34,3
28,34,3
30,34,3
33,34,3
5,36,3
18,36,3
20,36,3
21,36,3
22,36,3
28,36,3
32,36,3
33,36,3
34,36,3
5,39,3
21,39,3
22,39,3
34,39,3
36,39,3
42,39,3
5,41,3
17,41,3
18,41,3
22,41,3
30,41,3
34,41,3
36,41,3
5,42,3
8,42,3
14,42,3
20,42,3
22,42,3
32,42,3
34,42,3
36,42,3
5,45,3
22,45,3
32,45,3
33,45,3
34,45,3
46,45,3
5,46,3
21,46,3
22,46,3
28,46,3
34,46,3
42,46,3
5,47,3
17,47,3
21,47,3
22,47,3
34,47,3
42,47,3
