source,target,weight
5,3,3
22,3,3
33,3,3
34,3,3
41,3,3
14,5,3
18,5,3
20,5,3
34,5,3
36,5,3
45,5,3
46,5,3
3,8,3
5,8,3
21,8,3
30,8,3
34,8,3
42,8,3
5,10,3
8,10,3
16,10,3
21,10,3
22,10,3
29,10,3
34,10,3
5,14,3
10,14,3
18,14,3
34,14,3
36,14,3
46,14,3
5,16,3
21,16,3
29,16,3
34,16,3
41,16,3
5,17,3
8,17,3
10,17,3
16,17,3
22,17,3
24,17,3
34,17,3
5,18,3
28,18,3
32,18,3
34,18,3
36,18,3
46,18,3
3,20,3
5,20,3
21,20,3
34,20,3
36,20,3
5,21,3
22,21,3
34,21,3
36,21,3
46,21,3
5,22,6
8,22,3
10,22,3
14,22,3
16,22,3
18,22,3
20,22,3
28,22,3
29,22,3
32,22,3
34,22,6
42,22,3
5,24,3
8,24,3
16,24,3
21,24,3
34,24,3
42,24,3
5,26,3
22,26,3
30,26,3
34,26,3
42,26,3
5,28,3
21,28,3
22,28,3
33,28,3
34,28,3
42,28,3
5,29,3
20,29,3
21,29,3
24,29,3
30,29,3
34,29,3
41,29,3
47,29,3
5,30,3
21,30,3
29,30,3
34,30,3
41,30,3
5,32,3
21,32,3
22,32,3
34,32,3
36,32,3
46,32,3
5,33,3
16,33,3
17,33,3
28,33,3
29,33,3
34,33,3
5,34,3
10,34,3
18,34,3
20,34,3
21,34,3
22,34,3
26,34,3
32,34,3
36,34,3
46,34,3
5,36,3
10,36,3
14,36,3
16,36,3
18,36,3
20,36,3
21,36,3
29,36,3
32,36,3
34,36,3
39,36,3
45,36,3
46,36,3
5,39,3
10,39,3
14,39,3
18,39,3
20,39,3
34,39,3
36,39,3
45,39,3
46,39,3
5,41,3
21,41,3
24,41,3
34,41,3
36,41,3
46,41,3
5,42,3
8,42,3
22,42,3
26,42,3
30,42,3
34,42,3
5,45,3
18,45,3
20,45,3
29,45,3
32,45,3
34,45,3
36,45,3
39,45,3
46,45,3
47,45,3
5,46,3
16,46,3
18,46,3
20,46,3
21,46,3
24,46,3
28,46,3
34,46,3
36,46,3
45,46,3
47,46,3
5,47,3
17,47,3
21,47,3
33,47,3
34,47,3
