source,target,weight
5,3,3
22,3,3
33,3,3
34,3,3
36,3,3
21,5,3
22,5,3
34,5,3
45,5,3
5,8,3
14,8,3
21,8,3
22,8,3
34,8,3
5,10,3
8,10,3
18,10,3
34,10,3
36,10,3
39,10,3
5,14,3
22,14,3
30,14,3
34,14,3
46,14,3
5,16,3
28,16,3
34,16,3
5,17,3
8,17,3
22,17,3
34,17,3
36,17,3
5,18,3
21,18,3
22,18,3
33,18,3
34,18,3
5,20,3
22,20,3
26,20,3
34,20,3
39,20,3
46,20,3
5,21,3
16,21,3
22,21,3
30,21,3
34,21,3
5,22,6
14,22,3
21,22,3
26,22,3
28,22,3
34,22,6
36,22,3
3,24,3
5,24,3
17,24,3
18,24,3
34,24,3
5,26,3
21,26,3
28,26,3
34,26,3
39,26,3
5,28,3
21,28,3
22,28,3
24,28,3
34,28,3
36,28,3
5,29,3
10,29,3
17,29,3
18,29,3
24,29,3
26,29,3
34,29,3
5,30,3
10,30,3
21,30,3
34,30,3
5,32,3
17,32,3
21,32,3
22,32,3
34,32,3
5,33,3
18,33,3
34,33,3
36,33,3
41,33,3
47,33,3
5,34,6
8,34,3
17,34,3
21,34,3
32,34,3
33,34,3
42,34,3
45,34,3
46,34,3
47,34,3
5,36,3
14,36,3
21,36,3
22,36,3
34,36,3
5,39,3
32,39,3
34,39,3
36,39,3
3,41,3
5,41,3
32,41,3
34,41,3
36,41,3
5,42,6
17,42,3
18,42,3
22,42,3
29,42,3
33,42,3
34,42,6
41,42,3
46,42,3
5,45,3
21,45,3
22,45,3
29,45,3
32,45,3
34,45,3
5,46,3
21,46,3
33,46,3
34,46,3
45,46,3
5,47,3
21,47,3
34,47,3
36,47,3
46,47,3
