source,target,weight
5,3,3
18,3,3
26,3,3
28,3,3
34,3,3
36,3,3
16,5,3
21,5,3
28,5,3
34,5,3
46,5,3
5,8,3
21,8,3
34,8,3
39,8,3
41,8,3
3,10,3
5,10,3
22,10,3
28,10,3
34,10,3
36,10,3
5,14,3
21,14,3
22,14,3
24,14,3
34,14,3
36,14,3
46,14,3
5,16,3
18,16,3
21,16,3
29,16,3
34,16,3
5,17,3
8,17,3
18,17,3
20,17,3
22,17,6
32,17,3
33,17,3
34,17,3
5,18,3
17,18,3
24,18,3
30,18,3
32,18,3
33,18,3
34,18,3
5,20,3
17,20,3
18,20,3
21,20,3
22,20,3
24,20,3
29,20,3
34,20,3
41,20,3
5,21,3
28,21,3
29,21,3
34,21,3
46,21,3
3,22,3
5,22,6
16,22,3
28,22,6
34,22,6
36,22,3
5,24,3
17,24,3
18,24,3
22,24,3
34,24,3
41,24,3
5,26,3
21,26,3
28,26,3
34,26,3
46,26,3
5,28,3
18,28,3
21,28,3
24,28,3
34,28,3
46,28,3
5,29,3
14,29,3
21,29,3
34,29,3
42,29,3
5,30,3
17,30,3
18,30,3
22,30,3
34,30,3
36,30,3
5,32,3
8,32,3
22,32,3
34,32,3
47,32,3
5,33,3
8,33,3
29,33,3
32,33,3
34,33,3
5,34,3
21,34,3
29,34,3
46,34,3
47,34,3
3,36,3
5,36,3
18,36,3
21,36,3
28,36,3
34,36,3
5,39,3
17,39,3
18,39,3
28,39,3
34,39,3
45,39,3
47,39,3
5,41,3
14,41,3
21,41,3
34,41,3
46,41,3
5,42,3
20,42,3
21,42,3
22,42,3
29,42,3
34,42,3
36,42,3
41,42,3
5,45,3
22,45,3
28,45,3
32,45,3
34,45,3
5,46,3
14,46,3
20,46,3
21,46,3
22,46,3
32,46,3
34,46,3
36,46,3
45,46,3
5,47,3
18,47,3
22,47,3
34,47,3
36,47,3
39,47,3
