source,target,weight
19,3,3
38,3,3
42,3,3
43,3,3
44,3,3
8,4,3
19,4,3
32,4,3
36,4,3
43,4,3
52,4,3
19,7,3
23,7,3
31,7,3
43,7,3
53,7,3
62,7,3
19,8,3
21,8,3
22,8,3
36,8,3
43,8,3
44,8,3
49,8,3
19,10,3
38,10,3
43,10,3
54,10,3
64,10,3
10,13,3
19,13,3
22,13,3
29,13,3
42,13,3
43,13,3
22,19,6
38,19,3
42,19,3
43,19,6
48,19,6
49,19,3
52,19,3
19,20,3
23,20,3
31,20,3
43,20,3
53,20,3
54,20,3
3,21,3
19,21,3
29,21,3
43,21,3
44,21,3
54,21,3
4,22,3
19,22,3
21,22,3
31,22,3
36,22,3
43,22,3
44,22,3
53,22,3
3,23,3
19,23,3
29,23,3
36,23,3
42,23,3
43,23,3
64,23,3
7,29,3
19,29,3
20,29,3
36,29,3
43,29,3
64,29,3
19,31,3
32,31,3
36,31,3
43,31,3
45,31,3
48,31,3
53,31,3
63,31,3
19,32,3
21,32,3
22,32,3
43,32,3
52,32,3
63,32,3
7,34,3
13,34,3
19,34,3
29,34,3
31,34,3
36,34,3
43,34,3
48,34,3
53,34,3
10,36,3
19,36,3
43,36,3
53,36,3
54,36,3
7,38,3
13,38,3
19,38,3
29,38,3
34,38,3
43,38,3
48,38,3
53,38,3
54,38,3
8,42,3
10,42,3
19,42,3
36,42,3
43,42,3
53,42,3
19,43,3
22,43,3
23,43,3
36,43,3
45,43,3
53,43,3
62,43,3
19,44,3
29,44,3
36,44,3
43,44,3
48,44,3
63,44,3
8,45,3
19,45,3
36,45,3
42,45,3
43,45,3
54,45,3
62,45,3
19,48,3
29,48,3
31,48,3
36,48,3
42,48,3
43,48,3
44,48,3
64,48,3
19,49,3
20,49,3
31,49,3
43,49,3
48,49,3
63,49,3
19,52,3
20,52,3
23,52,3
34,52,3
43,52,3
54,52,3
62,52,3
13,53,3
19,53,3
34,53,3
38,53,3
43,53,3
48,53,3
60,53,3
19,54,3
29,54,3
36,54,3
42,54,3
43,54,3
61,54,3
19,60,3
42,60,3
43,60,3
48,60,3
53,60,3
19,61,3
21,61,3
36,61,3
42,61,3
43,61,3
45,61,3
19,62,3
29,62,3
36,62,3
42,62,3
43,62,3
44,62,3
49,62,3
54,62,3
8,63,3
19,63,3
43,63,3
53,63,3
61,63,3
62,63,3
64,63,3
3,64,3
19,64,3
29,64,3
43,64,3
45,64,3
54,64,3
61,64,3
63,64,3
