source,target,weight
4,3,3
19,3,3
32,3,3
43,3,3
48,3,3
62,3,3
19,4,3
32,4,3
36,4,3
43,4,3
48,4,3
49,4,3
53,4,3
60,4,3
62,4,3
8,7,3
19,7,3
22,7,3
32,7,3
43,7,3
48,7,3
49,7,3
60,7,3
62,7,3
19,8,3
20,8,3
22,8,3
32,8,3
36,8,3
43,8,3
44,8,3
48,8,3
52,8,3
60,8,3
62,8,3
19,10,3
29,10,3
32,10,3
36,10,3
38,10,3
43,10,3
48,10,3
49,10,3
52,10,3
60,10,3
62,10,3
3,13,3
4,13,3
19,13,3
43,13,3
48,13,3
62,13,3
7,19,3
13,19,3
20,19,3
29,19,3
38,19,3
43,19,6
48,19,6
53,19,3
62,19,3
19,20,3
31,20,3
36,20,3
43,20,3
44,20,3
48,20,3
60,20,3
61,20,3
62,20,3
10,21,3
19,21,3
29,21,3
32,21,3
36,21,3
43,21,3
44,21,3
48,21,3
49,21,3
54,21,3
60,21,3
62,21,3
19,22,3
20,22,3
31,22,3
43,22,3
48,22,3
49,22,3
52,22,3
53,22,3
60,22,3
62,22,3
19,23,3
20,23,3
43,23,3
44,23,3
48,23,3
62,23,3
8,29,3
10,29,3
19,29,3
32,29,3
36,29,3
43,29,3
45,29,3
48,29,3
49,29,3
60,29,3
62,29,3
64,29,3
19,31,3
23,31,3
32,31,3
36,31,3
43,31,3
44,31,3
45,31,3
48,31,3
52,31,3
60,31,3
62,31,3
8,32,3
19,32,6
21,32,3
22,32,3
23,32,3
29,32,3
31,32,3
43,32,6
48,32,6
49,32,3
60,32,6
62,32,3
19,34,3
21,34,3
29,34,3
32,34,3
36,34,3
43,34,3
44,34,3
48,34,3
60,34,3
62,34,3
19,36,3
22,36,3
32,36,3
38,36,3
43,36,3
48,36,3
49,36,3
52,36,3
54,36,3
60,36,3
62,36,3
63,36,3
19,38,3
21,38,3
22,38,3
29,38,3
32,38,3
34,38,3
43,38,3
48,38,3
53,38,3
54,38,3
60,38,3
62,38,3
3,42,3
19,42,3
29,42,3
31,42,3
36,42,3
43,42,3
48,42,3
63,42,3
7,43,3
19,43,3
21,43,3
23,43,3
34,43,3
36,43,3
44,43,3
48,43,3
53,43,3
54,43,3
60,43,3
62,43,3
19,44,3
21,44,3
29,44,3
31,44,3
34,44,3
36,44,3
43,44,3
48,44,3
52,44,3
54,44,3
60,44,3
62,44,3
64,44,3
19,45,3
21,45,3
22,45,3
23,45,3
38,45,3
43,45,3
48,45,3
52,45,3
53,45,3
54,45,3
60,45,3
62,45,3
13,48,3
19,48,3
43,48,3
44,48,3
62,48,3
63,48,3
10,49,3
19,49,3
21,49,3
29,49,3
32,49,3
43,49,3
48,49,3
52,49,3
60,49,3
62,49,3
13,52,3
19,52,3
20,52,3
43,52,3
44,52,3
48,52,3
60,52,3
62,52,3
4,53,3
19,53,3
21,53,3
43,53,3
45,53,3
48,53,3
62,53,3
7,54,3
19,54,3
22,54,3
36,54,3
38,54,3
43,54,3
48,54,3
52,54,3
53,54,3
60,54,3
62,54,3
63,54,3
19,60,3
43,60,3
48,60,3
49,60,3
62,60,3
19,61,3
29,61,3
31,61,3
32,61,3
43,61,3
44,61,3
48,61,3
62,61,3
19,62,3
21,62,3
36,62,3
38,62,3
43,62,3
48,62,3
53,62,3
19,63,3
21,63,3
29,63,3
31,63,3
43,63,3
48,63,3
7,64,3
19,64,3
21,64,3
32,64,3
34,64,3
43,64,3
44,64,3
48,64,3
52,64,3
54,64,3
60,64,3
62,64,3
