source,target,weight
16,6,3
15,20,3
14,4,3
18,4,3
17,20,3
6,35,3
29,27,3
8,24,4
20,35,3
17,2,3
16,22,4
14,1,3
29,17,3
18,35,3
8,2,3
30,14,3
29,30,3
14,24,3
29,11,3
35,16,3
12,22,3
24,17,3
29,26,3
29,20,3
27,12,4
29,1,3
14,26,3
8,18,3
29,14,3
35,26,3
12,8,3
18,15,3
16,35,3
33,18,3
29,4,3
35,4,3
15,26,3
14,22,3
24,18,4
17,11,3
16,29,3
27,16,3
16,9,3
4,1,3
33,16,3
16,4,3
14,6,3
29,33,3
16,26,3
29,16,3
29,8,3
4,17,3
2,33,3
16,1,3
24,12,3
6,27,3
1,30,3
27,26,3
30,8,3
6,2,5
16,14,3
14,9,3
16,17,3
27,20,3
26,20,3
24,14,3
22,14,3
29,22,3
8,29,3
16,11,3
6,18,3
12,14,3
8,33,3
16,30,3
16,33,3
11,33,3
27,4,3
27,9,3
14,29,3
29,6,3
16,8,3
9,14,3
16,27,3
9,12,3
14,30,3
29,9,3
11,2,3
9,22,3
16,2,3
29,35,3
1,29,3
26,35,3
16,24,4
27,29,3
29,18,3
33,15,3
29,12,3
9,17,3
15,18,3
16,18,3
2,16,3
22,24,3
8,11,3
16,20,3
29,2,3
29,15,3
16,12,3
14,11,3
26,27,4
27,18,3
22,8,3
29,24,3
16,15,3
2,15,3
8,27,3
