source,target,weight
9,26,3
16,6,4
14,17,3
16,9,3
18,4,3
24,9,3
6,35,4
14,35,3
27,17,3
26,11,3
27,2,3
29,27,4
20,35,3
14,18,3
12,22,4
16,22,3
14,1,3
24,1,3
26,12,3
8,15,3
29,6,4
2,6,3
8,2,3
30,14,3
29,30,4
14,24,3
1,17,3
35,16,3
20,14,4
29,26,3
29,20,4
15,33,3
29,1,3
29,14,3
15,16,3
6,16,4
24,8,3
2,18,3
18,15,3
16,35,3
22,26,3
8,9,3
14,33,3
9,4,3
29,4,3
35,4,3
6,29,4
16,29,4
17,24,3
4,1,5
16,17,3
26,33,4
16,4,3
14,6,3
29,33,3
18,6,3
16,26,3
29,16,3
29,8,6
6,1,3
20,33,3
16,1,4
30,17,3
16,20,3
1,30,4
27,26,3
30,8,6
33,8,3
4,22,3
16,14,3
18,1,3
15,12,3
12,20,3
27,20,3
29,22,3
8,29,3
8,16,4
20,27,3
16,11,3
6,18,4
20,22,3
16,30,4
6,33,3
16,33,3
27,4,3
1,9,3
22,11,3
33,1,3
4,29,3
16,8,9
16,27,4
27,30,3
2,4,3
18,33,3
29,17,3
29,9,3
11,2,3
16,2,3
20,29,3
29,35,3
18,8,3
16,24,3
27,29,3
8,14,3
22,2,3
29,18,4
27,14,3
8,1,3
15,35,3
14,27,3
29,12,3
9,17,3
16,15,4
20,18,3
16,18,4
33,35,3
8,11,3
4,14,3
8,30,4
29,2,3
35,6,3
8,17,3
29,11,3
11,12,3
29,15,3
16,12,3
26,27,3
12,26,3
27,18,4
29,24,3
2,15,3
